order_id,order_date,customer_id,channel,category,item_price,quantity,discount_pct,order_value,payment_method,delivery_days,customer_region,customer_tenure_days,customer_prior_orders,marketing_opt_in,export_seq,returned
ORD-100000,2025-06-20,10417,web,apparel,41.47,1,0,41.47,bnpl,4,North,460,1,True,1705,0
ORD-100001,2025-12-22,10427,web,beauty,30.41,1,0,30.41,paypal,2,North,67,2,True,874,0
ORD-100002,2025-09-13,10570,web,electronics,234.17,1,0,234.17,card,1,Wales,583,1,True,1611,0
ORD-100003,2025-01-09,10535,web,beauty,13.06,1,0,13.06,card,4,London,750,0,True,933,0
ORD-100004,2025-12-09,10369,web,apparel,39.69,3,15,101.21,card,4,London,453,2,True,48,1
ORD-100005,2025-12-22,10076,phone,home,73.62,1,10,66.26,card,3,Scotland,1014,0,True,1767,0
ORD-100006,2025-08-25,10555,web,beauty,25.61,1,0,25.61,card,3,Midlands,1880,0,False,644,0
ORD-100007,2025-08-24,10711,web,footwear,39.59,2,0,79.18,card,4,London,1243,1,True,1934,0
ORD-100008,2025-06-25,10368,web,beauty,15.39,1,20,12.31,card,4,London,1259,1,False,1337,0
ORD-100009,2025-01-17,10357,web,home,57.05,2,15,96.98,card,3,Midlands,1281,1,True,555,0
ORD-100010,2025-06-24,10960,web,apparel,49.03,1,10,44.13,bnpl,4,South,2218,0,True,974,0
ORD-100011,2025-08-29,10641,web,home,66.96,1,20,53.57,card,2,London,113,2,True,1528,0
ORD-100012,2025-07-05,10359,web,home,55.86,1,10,50.27,bnpl,1,Scotland,411,1,True,1969,0
ORD-100013,2025-10-19,10074,web,electronics,402.95,1,10,362.66,bnpl,4,South,1026,0,True,127,1
ORD-100014,2025-01-24,10514,web,electronics,267.77,1,0,267.77,card,3,South,1498,0,True,1981,0
ORD-100015,2025-07-19,10226,web,home,47.75,2,5,90.72,card,3,North,1052,1,True,1197,0
ORD-100016,2025-05-02,10006,web,electronics,143.71,1,0,143.71,card,4,North,1687,1,False,1173,0
ORD-100017,2025-11-25,10128,web,electronics,113.11,1,0,113.11,paypal,1,Midlands,327,1,True,79,1
ORD-100018,2025-03-09,10144,web,home,62.1,1,0,62.1,paypal,2,Midlands,1114,0,True,487,1
ORD-100019,2025-01-10,10831,web,footwear,39.76,1,10,35.78,card,3,North,1116,0,True,2024,0
ORD-100020,2025-04-11,10165,web,footwear,71.99,1,25,53.99,bnpl,8,London,1903,0,True,850,0
ORD-100021,2025-01-08,10253,web,home,50.23,1,0,50.23,card,5,Midlands,1928,0,False,1115,0
ORD-100022,2025-03-13,10361,web,home,107.5,1,0,107.5,card,3,London,1707,1,False,816,0
ORD-100023,2025-07-22,10965,web,apparel,49.99,2,0,99.98,bnpl,4,North,366,2,True,700,0
ORD-100024,2025-10-29,10653,web,footwear,48.04,1,0,48.04,paypal,4,South,1092,1,False,116,1
ORD-100025,2025-10-21,10611,web,apparel,25.73,1,0,25.73,card,1,London,1876,1,True,136,1
ORD-100026,2025-08-31,10375,web,apparel,71.87,1,15,61.09,card,7,Midlands,868,3,True,208,1
ORD-100027,2025-05-05,10375,web,sports,28.03,3,0,84.09,card,3,Midlands,868,1,True,953,0
ORD-100028,2025-01-06,11060,web,beauty,14.95,1,15,12.71,card,5,South,1396,0,False,1548,0
ORD-100029,2025-04-13,10019,web,sports,44.31,1,5,42.09,card,3,North,2158,1,False,902,0
ORD-100030,2025-02-14,11016,web,electronics,231.96,1,20,185.57,paypal,6,Scotland,940,0,True,781,0
ORD-100031,2025-07-24,10394,web,electronics,149.21,4,0,596.84,paypal,4,Scotland,594,1,False,847,0
ORD-100032,2025-12-11,10988,web,apparel,29.91,2,0,59.82,paypal,4,South,2094,2,False,774,0
ORD-100033,2025-04-22,10593,web,electronics,182.56,2,0,365.12,card,4,South,807,1,True,1303,0
ORD-100034,2025-12-16,10791,web,apparel,67.11,1,0,67.11,card,4,NI,549,8,True,10,0
ORD-100035,2025-05-01,10556,web,footwear,40.16,1,0,40.16,card,1,London,2254,0,True,419,1
ORD-100036,2025-07-26,10254,web,beauty,21.14,1,0,21.14,paypal,3,London,1542,0,False,685,0
